lesson_number,position_in_lesson,speaker,text,utterance_type,narrator_cue,core_lemmas
2,1,Female Speaker,"Pardon, Monsieur? Est-ce que vous comprenez le français?",ConversationalExchange,,pardon monsieur comprendre français
2,2,Male Speaker,Un peu.,SimpleResponse,,un peu
2,3,Female Speaker,Est-ce que vous êtes américain?,ConversationalExchange,,être américain
2,4,Male Speaker,"Oui. Est-ce que vous comprenez l'anglais, Mademoiselle?",ConversationalExchange,,oui comprendre anglais mademoiselle
2,5,Female Speaker,"Non, Monsieur, je ne comprends pas l'anglais.",ConversationalExchange,,non monsieur comprendre anglais
2,6,Female Speaker,"Pardon, Monsieur? Est-ce que vous comprenez le français?",DirectRepetition,,pardon monsieur comprendre français
2,7,Male Speaker,Un peu.,DirectRepetition,,un peu
2,8,Female Speaker,Est-ce que vous êtes américain?,DirectRepetition,,être américain
2,9,Male Speaker,"Oui. Est-ce que vous comprenez l'anglais, Mademoiselle?",ConversationalExchange,,oui comprendre anglais mademoiselle
2,10,Female Speaker,"Non, Monsieur, je ne comprends pas l'anglais.",ConversationalExchange,,non monsieur comprendre anglais
2,11,Female Speaker,L'anglais.,PromptedRecall,the narrator likely asked to say 'English' in French,anglais
2,12,Female Speaker,Le français.,PromptedRecall,the narrator likely asked to say 'French' in French,français
2,13,Female Speaker,Le français.,DirectRepetition,the narrator likely asked to repeat the phrase,français
2,14,Female Speaker,Je comprends.,PromptedRecall,the narrator likely asked to say 'I understand' in French,comprendre
2,15,Female Speaker,Je comprends.,DirectRepetition,the narrator likely asked to repeat the phrase,comprendre
2,16,Female Speaker,Je comprends le français.,PromptedRecall,the narrator likely asked to say 'I understand French' in French,comprendre français
2,17,Female Speaker,Je comprends le français.,DirectRepetition,,je comprendre le français
2,18,Female Speaker,Je comprends le français.,DirectRepetition,,je comprendre le français
2,19,Female Speaker,Je comprends le français.,DirectRepetition,,je comprendre le français
2,20,Female Speaker,Prends le.,PromptedRecall,,prendre le
2,21,Female Speaker,Prends le.,DirectRepetition,,prendre le
2,22,Female Speaker,Je comprends le français.,DirectRepetition,,je comprendre le français
2,23,Female Speaker,Je comprends le français.,DirectRepetition,,je comprendre le français
2,24,Male Speaker,Je comprends le français.,DirectRepetition,,je comprendre le français
2,25,Male Speaker,Un peu.,SimpleResponse,,un peu
2,26,Male Speaker,Je comprends un peu le français.,DirectRepetition,,je comprendre un peu le français
2,27,Male Speaker,Je comprends un peu le français.,PromptedRecall,Try to say 'I understand a little French.',je comprendre un peu le français
2,28,Male Speaker,Est-ce que vous comprenez?,DirectRepetition,,est ce que vous comprendre
2,29,Male Speaker,Est-ce que vous comprenez?,PromptedRecall,Ask 'Do you understand?',est ce que vous comprendre
2,30,Female Speaker,Est-ce que vous comprenez le français?,ConversationalExchange,,est ce que vous comprendre le français
2,31,Male Speaker,Est-ce que vous comprenez le français?,DirectRepetition,,est ce que vous comprendre le français
2,32,Male Speaker,Est-ce que vous comprenez le français?,PromptedRecall,Ask 'Do you understand French?',est ce que vous comprendre le français
2,33,Male Speaker,Est-ce que vous comprenez l'anglais?,ConversationalExchange,,être vous comprendre l'anglais
2,34,Female Speaker,"Non, Monsieur.",SimpleResponse,,non monsieur
2,35,Female Speaker,Je ne comprends pas.,ConversationalExchange,,je ne comprendre pas
2,36,Female Speaker,Je ne comprends pas.,DirectRepetition,,je ne comprendre pas
2,37,Female Speaker,Je ne comprends pas.,DirectRepetition,,je ne comprendre pas
2,38,Female Speaker,Je ne comprends pas l'anglais.,PromptedRecall,,je ne comprendre pas l'anglais
2,39,Female Speaker,Je ne comprends pas l'anglais.,DirectRepetition,,je ne comprendre pas l'anglais
2,40,Female Speaker,Je ne comprends pas le français.,PromptedRecall,,je ne comprendre pas le français
2,41,Female Speaker,Je ne comprends pas le français.,DirectRepetition,Listen and repeat.,je ne comprendre pas le français
2,42,Female Speaker,Je ne comprends pas le français.,PromptedRecall,How do you say 'I don't understand French'?,je ne comprendre pas le français
2,43,Female Speaker,Je comprends un peu.,PromptedRecall,How do you say 'I understand a little'?,je comprendre un peu
2,44,Female Speaker,Je ne comprends pas le français.,ConversationalExchange,,je ne comprendre pas le français
2,45,Female Speaker,Je comprends l'anglais.,ConversationalExchange,,je comprendre l' anglais
2,46,Female Speaker,Je comprends un peu l'anglais.,ConversationalExchange,,je comprendre un peu l' anglais
2,47,Female Speaker,Peu l'anglais.,SimpleResponse,,peu l' anglais
2,48,Female Speaker,Peu l'anglais.,DirectRepetition,"Repeat that, please.",peu l' anglais
2,49,Female Speaker,Je comprends un peu l'anglais.,DirectRepetition,Listen and repeat.,je comprendre un peu l' anglais
2,50,Female Speaker,Vous êtes.,PromptedRecall,Say 'You are.',vous être
2,51,Female Speaker,Vous êtes américain.,DirectRepetition,Listen and repeat.,vous être américain
2,52,Female Speaker,Vous êtes américain.,PromptedRecall,Say 'You are American.',vous être américain
2,53,Female Speaker,Est-ce que vous êtes américain?,DirectRepetition,Listen and repeat.,est-ce que vous être américain
2,54,Female Speaker,Est-ce que vous êtes américain?,PromptedRecall,Ask 'Are you American?',est-ce que vous être américain
2,55,Female Speaker,"Oui, Mademoiselle.",ConversationalExchange,,oui mademoiselle
2,56,Female Speaker,Monsieur.,SimpleResponse,,monsieur
2,57,Female Speaker,"Non, Monsieur.",SimpleResponse,,non monsieur
2,58,Male Speaker,Mademoiselle.,PromptedRecall,,mademoiselle
2,59,Male Speaker,Selle.,DirectRepetition,,selle
2,60,Male Speaker,Selle.,DirectRepetition,,selle
2,61,Male Speaker,Moi.,DirectRepetition,,moi
2,62,Male Speaker,Moi.,DirectRepetition,,moi
2,63,Male Speaker,Moiselle.,PromptedRecall,,moiselle
2,64,Male Speaker,Moiselle.,PromptedRecall,,moiselle
2,65,Male Speaker,Mad.,DirectRepetition,,madame
2,66,Male Speaker,Mad.,DirectRepetition,,madame
2,67,Male Speaker,Mademoiselle.,DirectRepetition,,mademoiselle
2,68,Male Speaker,Mademoiselle.,DirectRepetition,,mademoiselle
2,69,Male Speaker,"Pardon, Mademoiselle.",PromptedRecall,,pardon mademoiselle
2,70,Male Speaker,Je comprends le français.,PromptedRecall,,je comprendre le français
2,71,Male Speaker,Un peu.,PromptedRecall,,un peu
2,72,Male Speaker,Je comprends un peu le français.,PromptedRecall,,je comprendre un peu le français
2,73,Male Speaker,Je comprends un peu le français.,PromptedRecall,Try saying 'I understand French a little.',je comprendre un peu le français
2,74,Female Speaker,Est-ce que vous êtes américain?,PromptedRecall,Ask 'Are you American?',être vous américain
2,75,Female Speaker,Est-ce que vous êtes américain?,DirectRepetition,Repeat after me: 'Est-ce que vous êtes américain?',être vous américain
2,76,Female Speaker,"Oui, vous êtes américain.",PromptedRecall,"Say 'Yes, you are American.'",oui être vous américain
2,77,Female Speaker,"Oui, vous êtes américain.",DirectRepetition,"Repeat after me: 'Oui, vous êtes américain.'",oui être vous américain
2,78,Female Speaker,Vous comprenez l'anglais.,PromptedRecall,Say 'You understand English.',vous comprendre l'anglais
2,79,Male Speaker,Vous comprenez.,PromptedRecall,Say 'You understand.',vous comprendre
2,80,Male Speaker,Est-ce que vous comprenez?,PromptedRecall,Ask 'Do you understand?',être vous comprendre
2,81,Male Speaker,Est-ce que vous comprenez l'anglais?,ConversationalExchange,,être vous comprendre l'anglais
2,82,Male Speaker,Est-ce que vous comprenez l'anglais?,DirectRepetition,,être vous comprendre l'anglais
2,83,Female Speaker,"Non, Monsieur.",SimpleResponse,,non monsieur
2,84,Female Speaker,Je ne comprends pas.,ConversationalExchange,,je ne comprendre pas
2,85,Male Speaker,Bonjour.,ConversationalExchange,,bonjour
2,86,Male Speaker,Bon.,SimpleResponse,,bon
2,87,Male Speaker,Bon.,DirectRepetition,,bon
2,88,Male Speaker,Bon.,DirectRepetition,,bon
