utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
"Bonjour, Monsieur. Comment allez-vous?",Female Speaker,ConversationalExchange,,bonjour monsieur comment aller vous
"Bien, Madame. Merci.",Male Speaker,ConversationalExchange,,bien madame merci
Ah! Vous comprenez le français?,Female Speaker,ConversationalExchange,,ah vous comprendre le français
"Oui, Madame, un peu. Pas très bien.",Male Speaker,ConversationalExchange,,oui madame un peu pas très bien
"Vous êtes américain, Monsieur?",Female Speaker,ConversationalExchange,,vous être américain monsieur
Oui.,Male Speaker,ConversationalExchange,,oui
Mais vous comprenez très bien le français.,Female Speaker,ConversationalExchange,,mais vous comprendre très bien le français
Le français.,Male Speaker,PromptedRecall,Tell me the name of the French language in French.,le français
Le français.,Male Speaker,DirectRepetition,,le français
Je comprends.,Male Speaker,PromptedRecall,"Say, 'I understand.'",je comprendre
Je comprends le français.,Male Speaker,PromptedRecall,"Say, 'I understand French.'",je comprendre le français
Je comprends le français.,Male Speaker,DirectRepetition,Repeat again after the speaker.,je comprendre le français
Je comprends le français.,Male Speaker,DirectRepetition,,je comprendre le français
Un peu.,Male Speaker,PromptedRecall,"Now, say, 'A little.'",un peu
Je comprends un peu.,Male Speaker,PromptedRecall,"Say, 'I understand a little.'",je comprendre un peu
Je comprends un peu le français.,Male Speaker,PromptedRecall,"Say, 'I understand French a little.'",je comprendre un peu le français
Je comprends un peu le français.,Male Speaker,DirectRepetition,,je comprendre un peu le français
Je comprends un peu le français.,Male Speaker,DirectRepetition,Repeat again after the speaker.,je comprendre un peu le français
Je comprends un peu le français.,Male Speaker,DirectRepetition,,je comprendre un peu le français
Je ne comprends pas.,Male Speaker,PromptedRecall,Suppose someone said something to you in French and you didn't understand what was being said. How would you tell the person that you don't understand?,je ne comprendre pas
Je ne comprends pas.,Male Speaker,DirectRepetition,,je ne comprendre pas
Pardon.,Male Speaker,PromptedRecall,"You might add, 'Pardon me.'",pardon
"Comment allez-vous, Monsieur?",Female Speaker,PromptedRecall,Ask me how I'm feeling.,comment aller vous monsieur
Comment allez-vous?,Female Speaker,DirectRepetition,,comment aller vous
Vous allez.,Male Speaker,PromptedRecall,Do you remember what this means literally?,vous aller
"Très bien, merci.",Male Speaker,PromptedRecall,"Now answer, 'Fine, thanks.'",très bien merci
"Très bien, merci.",Male Speaker,DirectRepetition,,très bien merci
"Merci, Madame.",Male Speaker,PromptedRecall,"Say, 'Thank you, madam.'",merci madame
"Merci, Madame.",Male Speaker,DirectRepetition,,merci madame
Je vais bien.,Male Speaker,PromptedRecall,'I am well.',je aller bien
Bonjour.,Male Speaker,PromptedRecall,"How do you say, 'Hello' in French?",bonjour
Bonjour.,Male Speaker,DirectRepetition,,bonjour
"Bonjour, Madame.",Male Speaker,PromptedRecall,"Say, 'Good morning, ma'am.'",bonjour madame
"Bonjour, Madame.",Male Speaker,DirectRepetition,,bonjour madame
Au revoir.,Male Speaker,PromptedRecall,"And how do you say, 'Goodbye?'",au revoir
Au revoir.,Male Speaker,DirectRepetition,,au revoir
"Au revoir, Madame.",Male Speaker,PromptedRecall,"Say, 'Goodbye, ma'am.'",au revoir madame
"Au revoir, Madame.",Male Speaker,DirectRepetition,,au revoir madame
Comment allez-vous?,Female Speaker,PromptedRecall,Ask me again how I am.,comment aller vous
Pas très bien.,Male Speaker,PromptedRecall,"How would I answer, 'Not very well?'",pas très bien
Pas très bien.,Male Speaker,DirectRepetition,,pas très bien
Je ne comprends pas le français.,Male Speaker,PromptedRecall,How would I tell you that I don't understand French?,je ne comprendre pas le français
Je ne comprends pas le français.,Male Speaker,DirectRepetition,,je ne comprendre pas le français
Je comprends un peu le français.,Male Speaker,PromptedRecall,'I understand French a little.',je comprendre un peu le français
Je comprends un peu le français.,Male Speaker,DirectRepetition,,je comprendre un peu le français
Est-ce que vous êtes américain?,Female Speaker,PromptedRecall,'Do you understand French?',est-ce que vous être américain
Est-ce que vous comprenez le français?,Female Speaker,DirectRepetition,,est-ce que vous comprendre le français
Est-ce que vous comprenez le français?,Female Speaker,DirectRepetition,,est-ce que vous comprendre le français
"Est-ce que vous êtes américain, Monsieur?",Female Speaker,PromptedRecall,Now ask me if I'm American.,est-ce que vous être américain monsieur
Est-ce que vous êtes américain?,Female Speaker,DirectRepetition,,est-ce que vous être américain
"Est-ce que vous êtes américaine, Mademoiselle?",Male Speaker,PromptedRecall,Now listen to how you would ask a young woman the same question.,est-ce que vous être américaine mademoiselle
Américaine.,Male Speaker,PromptedRecall,"Practice the feminine form of the word, 'American.' Listen and repeat.",américaine
Caine.,Male Speaker,DirectRepetition,,caine
Caine.,Male Speaker,DirectRepetition,,caine
Américaine.,Male Speaker,DirectRepetition,,américaine
Américaine.,Male Speaker,DirectRepetition,,américaine
"Cain, Caine.",Male Speaker,PromptedRecall,Now practice distinguishing between the masculine and feminine forms. Listen and repeat the two endings.,cain caine
"Cain, Caine.",Male Speaker,DirectRepetition,,cain caine
"Cain, Caine.",Male Speaker,DirectRepetition,,cain caine
"Américain, Américaine.",Male Speaker,DirectRepetition,,américain américaine
"Américain, Américaine.",Male Speaker,DirectRepetition,,américain américaine
