utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
Un peu.,Male Speaker,PromptedRecall,Est-ce que vous comprenez le français? ,un peu
"Oui. Est-ce que vous comprenez l'anglais, Mademoiselle?",Male Speaker,ConversationalExchange,,oui comprendre anglais mademoiselle
Je comprends le français.,Male Speaker,PromptedRecall,Tell me that you understand French.,je comprendre français
Un peu.,Male Speaker,PromptedRecall,"""A little"".",un peu
Je comprends un peu le français.,Male Speaker,PromptedRecall,Now tell me that you understand French a little.,je comprendre un peu français
Est-ce que vous comprenez?,Male Speaker,PromptedRecall,Ask me if I understand.,est-ce que vous comprendre
Mademoiselle.,Male Speaker,SimpleResponse,"How do you say, ""Sir,"" or ""Mr.""? ",mademoiselle
Selle.,Male Speaker,DirectRepetition,Mademoiselle. ,selle
Moi.,Male Speaker,DirectRepetition,Moi. ,moi
Moiselle.,Male Speaker,DirectRepetition,Moiselle. ,moiselle
Mad.,Male Speaker,DirectRepetition,Mad. ,mad
Mademoiselle.,Male Speaker,DirectRepetition,Mademoiselle. ,mademoiselle
"Pardon, Mademoiselle.",Male Speaker,PromptedRecall,"Say, ""Excuse me, miss."" ",pardon mademoiselle
Je comprends le français.,Male Speaker,PromptedRecall,"Say, ""I understand French."" ",je comprendre français
Un peu.,Male Speaker,PromptedRecall,"Say, ""A little."" ",un peu
Je comprends un peu le français.,Male Speaker,PromptedRecall,"Say, ""I understand French a little."" ",je comprendre un peu français
Est-ce que vous êtes américain?,Male Speaker,PromptedRecall,"Do you remember how to ask, ""Are you American?"" ",est-ce que vous être américain
"Oui, vous êtes américain.",Male Speaker,PromptedRecall,"How would she say to him, ""Yes, you're American?"" ",oui vous être américain
Vous comprenez.,Male Speaker,PromptedRecall,"Say, ""You understand."" ",vous comprendre
Est-ce que vous comprenez?,Male Speaker,PromptedRecall,"Ask, ""Do you understand?"" ",est-ce que vous comprendre
Est-ce que vous comprenez l'anglais?,Male Speaker,PromptedRecall,"Ask the woman, ""Do you understand English?"" ",est-ce que vous comprendre anglais
Comment allez-vous?,Male Speaker,PromptedRecall,"Ask, ""How are you?"" ",comment aller vous
"Très bien, Mademoiselle.",Male Speaker,PromptedRecall,"Say, ""Very well, miss."" ",très bien mademoiselle
Merci.,Male Speaker,SimpleResponse,"""Thank you."" ",merci
"Je vais bien, merci.",Male Speaker,PromptedRecall,"""I'm well, thanks."" ",je aller bien merci
Au revoir.,Male Speaker,PromptedRecall,"Say, ""Goodbye."" ",au revoir
Je ne comprends pas.,Male Speaker,PromptedRecall,"Say, ""I don't understand."" ",je ne comprendre pas
"Bonjour, Madame.",Male Speaker,PromptedRecall,"Say, ""Good morning, ma'am."" ",bonjour madame
"Bonjour, Mademoiselle.",Male Speaker,PromptedRecall,"How would you say, ""Good morning, miss?"" ",bonjour mademoiselle
Comment allez-vous?,Male Speaker,PromptedRecall,"Ask her, ""How are you?"" ",comment aller vous
"Non, Madame.",Male Speaker,PromptedRecall,"Say, ""No, ma'am."" ",non madame
