lesson_number,position_in_lesson,phrase,teaching_cue,context,speaker_response
2,1,L'anglais,"Say the word ""English"" in French.",vocabulary_introduction,Female Speaker
2,2,Le français,"Say ""French"", meaning the French language.",vocabulary_introduction,Female Speaker
2,3,Je comprends,"Say ""I understand.""",vocabulary_introduction,Female Speaker
2,4,Je comprends le français,"And now say ""I understand French.""",vocabulary_introduction,Female Speaker
2,5,Je comprends le français,Tell me that you understand French.,question,Male Speaker
2,6,Un peu,"""A little"".",vocabulary_introduction,Male Speaker
2,7,Je comprends un peu le français,Now tell me that you understand French a little.,vocabulary_introduction,Male Speaker
2,8,Est-ce que vous comprenez?,Ask me if I understand.,question,Male Speaker
2,9,Est-ce que vous comprenez le français?,Ask me if I understand French.,question,Female Speaker
2,10,Est-ce que vous comprenez l'anglais?,"Ask, ""Do you understand English?""",question,Male Speaker
2,11,"Non, Monsieur","Say, ""No, sir.""",vocabulary_introduction,Female Speaker
2,12,Je ne comprends pas,"Say, ""I don't understand.""",negation,Female Speaker
2,13,Je ne comprends pas l'anglais,"Say, ""I don't understand English.""",negation,Female Speaker
2,14,Je ne comprends pas le français,"And now say, ""I don't understand French.""",negation,Female Speaker
2,15,Je comprends un peu,"And how would you say, ""I understand a little.""",vocabulary_introduction,Female Speaker
2,16,Je comprends l'anglais,"""I understand English.""",vocabulary_introduction,Female Speaker
2,17,Je comprends un peu l'anglais,"""I understand English a little.""",vocabulary_introduction,Female Speaker
2,18,Vous êtes,"Say, ""You are.""",vocabulary_introduction,Female Speaker
2,19,Vous êtes américain,"Say, ""You are American.""",vocabulary_introduction,Female Speaker
2,20,Est-ce que vous êtes américain?,"Ask, ""Are you American?""",question,Female Speaker
2,21,"Oui, Mademoiselle","Say, ""Yes, Miss.""",vocabulary_introduction,Female Speaker
2,22,Monsieur,"How do you say, ""Sir,"" or ""Mr.""?",vocabulary_introduction,Female Speaker
2,23,"Non, Monsieur","Say, ""No, sir.""",vocabulary_introduction,Female Speaker
2,24,Mademoiselle,"Say, ""Miss.""",vocabulary_introduction,Male Speaker
2,25,"Pardon, Mademoiselle","Say, ""Excuse me, miss.""",vocabulary_introduction,Male Speaker
2,26,Je comprends le français,"Say, ""I understand French.""",vocabulary_introduction,Male Speaker
2,27,Je comprends un peu le français,"Say, ""I understand French a little.""",vocabulary_introduction,Male Speaker
2,28,Est-ce que vous êtes américain?,"Do you remember how to ask, ""Are you American?""",question,Female Speaker
2,29,"Oui, vous êtes américain","How would she say to him, ""Yes, you're American?""",vocabulary_introduction,Female Speaker
2,30,Vous comprenez,"Say, ""You understand.""",vocabulary_introduction,Male Speaker
2,31,Est-ce que vous comprenez?,"Ask, ""Do you understand?""",question,Male Speaker
