lesson_number,position_in_lesson,utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
5,1,Mademoiselle.,Male Speaker,ConversationalExchange,,mademoiselle
5,2,Mademoiselle.,Male Speaker,ConversationalExchange,,mademoiselle
5,3,"Oui, Monsieur.",Female Speaker,SimpleResponse,,oui monsieur
5,4,"Où est la rue Saint-Jacques, s'il vous plaît?",Male Speaker,ConversationalExchange,,où être la rue saint-jacques s'il vous plaître
5,5,C'est là-bas.,Female Speaker,ConversationalExchange,,ce être là-bas
5,6,Et le boulevard Saint-Michel?,Male Speaker,ConversationalExchange,,et le boulevard saint-michel
5,7,"C'est ici, Monsieur.",Female Speaker,ConversationalExchange,,ce être ici monsieur
5,8,"Mademoiselle, comment allez-vous?",Male Speaker,ConversationalExchange,,mademoiselle comment aller vous
5,9,"Moi? Très bien, merci. Au revoir, Monsieur.",Female Speaker,ConversationalExchange,,moi très bien merci au revoir monsieur
5,10,Au revoir.,Male Speaker,SimpleResponse,,au revoir
5,11,Mademoiselle?,Male Speaker,ConversationalExchange,,mademoiselle
5,12,Mademoiselle?,Male Speaker,ConversationalExchange,,mademoiselle
5,13,"Oui, Monsieur?",Female Speaker,SimpleResponse,,oui monsieur
5,14,"Où est la rue Saint-Jacques, s'il vous plaît?",Male Speaker,ConversationalExchange,,où être la rue saint-jacques s'il vous plaître
5,15,C'est là-bas.,Female Speaker,ConversationalExchange,,ce être là-bas
5,16,Et le boulevard Saint-Michel?,Male Speaker,ConversationalExchange,,et le boulevard saint-michel
5,17,"C'est ici, Monsieur.",Female Speaker,ConversationalExchange,,ce être ici monsieur
5,18,"Mademoiselle, comment allez-vous?",Male Speaker,ConversationalExchange,,mademoiselle comment aller vous
5,19,"Moi? Très bien, merci. Au revoir, Monsieur.",Female Speaker,ConversationalExchange,,moi très bien merci au revoir monsieur
5,20,Au revoir.,Male Speaker,SimpleResponse,,au revoir
5,21,Bonjour.,Male Speaker,PromptedRecall,"Do you remember how to say ""hello"" in French?",bonjour
5,22,Bonjour.,Male Speaker,DirectRepetition,,bonjour
5,23,Est-ce que vous comprenez l'anglais?,Male Speaker,PromptedRecall,"Ask, ""Do you understand English?""",est-ce que vous comprendre l'anglais
5,24,Je comprends un peu.,Female Speaker,PromptedRecall,"Answer, ""I understand a little.""",je comprendre un peu
5,25,Je comprends un peu.,Female Speaker,DirectRepetition,,je comprendre un peu
5,26,Et je parle un peu.,Female Speaker,PromptedRecall,"""And I speak a little.""",et je parler un peu
5,27,Et je parle un peu.,Female Speaker,DirectRepetition,,et je parler un peu
5,28,Et vous?,Female Speaker,PromptedRecall,"""And you?""",et vous
5,29,Est-ce que vous comprenez le français?,Female Speaker,PromptedRecall,"""Do you understand French?""",est-ce que vous comprendre le français
5,30,"Oui, je comprends bien le français.",Male Speaker,PromptedRecall,"Say, ""Yes, I understand French well.""",oui je comprendre bien le français
5,31,Je comprends bien.,Male Speaker,DirectRepetition,,je comprendre bien
5,32,Je comprends bien le français.,Male Speaker,DirectRepetition,,je comprendre bien le français
5,33,Mais.,Male Speaker,PromptedRecall,"""But.""",mais
5,34,Je ne parle pas bien.,Male Speaker,PromptedRecall,"""I don't speak well.""",je ne parler pas bien
5,35,Je ne parle pas bien.,Male Speaker,DirectRepetition,,je ne parler pas bien
5,36,Comment allez-vous?,Male Speaker,PromptedRecall,How do you ask someone how she's feeling?,comment aller vous
5,37,Comment allez-vous?,Male Speaker,DirectRepetition,,comment aller vous
5,38,Moi? Très bien.,Female Speaker,DirectRepetition,Listen to the answer and repeat after the speaker.,moi très bien
