lesson_number,position_in_lesson,speaker,text,utterance_type,narrator_cue,core_lemmas
18,1,Male Speaker,Cinquante,VocabularyIntro,Do you recall the number fifty in French?,
18,2,Male Speaker,Soixante,VocabularyIntro,How about sixty?,
18,3,Male Speaker,Soixante-et-un,VocabularyIntro,Try sixty-one.,
18,4,Male Speaker,Ce n'est pas cher,PhraseConstruction,"Say, ""That's not expensive.""",
18,5,Female Speaker,"Si, c'est cher",PhraseConstruction,"Say, ""Yes, it's expensive.""",
18,6,Male Speaker,Vous parlez trop vite,PhraseConstruction,How would you tell someone that he's talking too quickly?,
18,7,Male Speaker,Je ne vous comprends pas,PhraseConstruction,Tell him you don't understand him.,
18,8,Female Speaker,Est-ce que vous avez assez d'argent?,PromptedRecall,Ask me if I have enough money.,
18,9,Female Speaker,J'ai quarante-et-un francs,PhraseConstruction,Tell me that you have forty-one francs.,
18,10,Male Speaker,C'est trop,PhraseConstruction,"How would you say, ""It's too much""?",
18,11,Female Speaker,"Non, mais ça suffit",PhraseConstruction,"Say, ""No, but it's enough.""",
18,12,Female Speaker,Ce n'est pas trop cher,PhraseConstruction,"Tell me, ""It's not expensive.""",
18,13,Female Speaker,"Là-bas, ce n'est pas cher",PhraseConstruction,"Say, ""Down there, it's not expensive.""",
18,14,Male Speaker,Plus tard,VocabularyIntro,"Do you remember how to say ""Later""?",
18,15,Female Speaker,Plus cher,VocabularyIntro,"Now, try to say, ""More expensive.""",
18,16,Female Speaker,"Ici, c'est plus cher",PhraseConstruction,"Try to say, ""Here, it's more expensive.""",
18,17,Female Speaker,Plus vite,VocabularyIntro,"Try to say ""more quickly"" or ""quicker.""",
18,18,Female Speaker,Parlez plus vite,PhraseConstruction,"Say, ""Speak more quickly.""",
18,19,Female Speaker,"Maintenant, vous parlez trop vite",PhraseConstruction,"Say, ""Now, you're speaking too quickly.""",
18,20,Female Speaker,Mon mari parle vite,PhraseConstruction,"""My husband speaks quickly.""",
18,21,Female Speaker,Mari,VocabularyIntro,"How do you say ""husband""?",
18,22,Female Speaker,Mon,VocabularyIntro,"And what is the word meaning ""my""?",
18,23,Male Speaker,Ma femme,VocabularyIntro,"""My wife.""",
18,24,Female Speaker,Mon mari,VocabularyIntro,"Say ""My husband"".",
18,25,Male Speaker,Ma femme est là-bas,PhraseConstruction,"Say, ""My wife is over there.""",
18,26,Male Speaker,Ma femme voudrait boire quelque chose,PhraseConstruction,"Say, ""My wife would like to drink something.""",
18,27,Male Speaker,Je voudrais boire quelque chose,PhraseConstruction,"Say, ""I would like to drink something.""",
18,28,Female Speaker,Mon mari voudrait boire quelque chose,PhraseConstruction,"Say, ""My husband would like to drink something"".",
