phrase,first_lesson,occurrences,word_count,parent_count,child_count,parents,children
"Pardon, est-ce que vous comprenez l'anglais?",1,3,6,8,0,l'anglais|comprenez|vous comprenez|vous|vous comprenez l'anglais,
"Non, Monsieur. Je ne comprends pas l'anglais.",1,2,7,12,0,l'anglais|ne|je|comprends|je comprends,
Je comprends un peu le français.,1,38,6,11,0,je|comprends|je comprends|le français|français,
Est-ce que vous êtes américain?,1,29,5,5,1,vous|est-ce que|américain|vous êtes|vous êtes américain,très bien. est-ce que vous êtes américain
"Oui, Mademoiselle.",1,12,2,1,1,mademoiselle,"mais oui, mademoiselle"
Pardon.,1,16,1,0,0,,
Don.,1,2,1,0,0,,
Par.,1,2,1,0,0,,
L'anglais.,1,12,1,0,12,,"pardon, est-ce que vous comprenez l'anglais|non, monsieur. je ne comprends pas l'anglais|vous comprenez l'anglais|est-ce que vous comprenez l'anglais|je comprends l'anglais"
anglais.,1,2,1,0,1,,en anglais
Comprenez.,1,4,1,0,25,,"pardon, est-ce que vous comprenez l'anglais|vous comprenez|vous comprenez l'anglais|est-ce que vous comprenez|est-ce que vous comprenez l'anglais"
Ne.,1,2,1,0,83,,"non, monsieur. je ne comprends pas l'anglais|je ne comprends pas|je ne|je ne comprends pas l'anglais|non, je ne comprends pas"
Prenez.,1,3,1,0,13,,prenez la route de paris|vous prenez|prenez tout droit|prenez la route à gauche|prenez la route à droite
Com.,1,4,1,0,0,,
Vous comprenez.,1,11,2,2,24,comprenez|vous,"pardon, est-ce que vous comprenez l'anglais|vous comprenez l'anglais|est-ce que vous comprenez|est-ce que vous comprenez l'anglais|je comprends. vous comprenez"
Vous.,1,2,1,0,329,,"pardon, est-ce que vous comprenez l'anglais|est-ce que vous êtes américain|vous comprenez|vous comprenez l'anglais|est-ce que vous comprenez"
Vous comprenez l'anglais.,1,3,3,4,3,l'anglais|comprenez|vous comprenez|vous,"pardon, est-ce que vous comprenez l'anglais|est-ce que vous comprenez l'anglais|vous ne comprenez pas l'anglais"
Est-ce que.,1,3,2,0,133,,"pardon, est-ce que vous comprenez l'anglais|est-ce que vous êtes américain|est-ce que vous comprenez|est-ce que vous comprenez l'anglais|est-ce que vous comprenez le français"
Est-ce que vous comprenez?,1,17,4,4,8,comprenez|vous comprenez|vous|est-ce que,"pardon, est-ce que vous comprenez l'anglais|est-ce que vous comprenez l'anglais|est-ce que vous comprenez le français|est-ce que vous comprenez le français, monsieur|est-ce que vous comprenez l'anglais, monsieur"
Est-ce que vous comprenez l'anglais?,1,23,5,7,1,l'anglais|comprenez|vous comprenez|vous|vous comprenez l'anglais,"pardon, est-ce que vous comprenez l'anglais"
Non.,1,4,1,0,11,,"oh non|non merci, mais je voudrais boire quelque chose|non merci. pas maintenant|non merci|non merci, pierre, pas maintenant, mais je voudrais boire quelque chose"
"Non, Monsieur.",1,14,2,1,1,monsieur,"non, merci, monsieur"
Sieur.,1,2,1,0,0,,
Mon.,1,3,1,0,22,,mon mari parle vite|mon mari|mon mari voudrait boire quelque chose|mon mari peut boire quelque chose|mon mari peut boire du vin
Monsieur.,1,5,1,0,33,,"non, monsieur|est-ce que vous comprenez le français, monsieur|est-ce que vous comprenez l'anglais, monsieur|bonjour, monsieur|comment allez-vous, monsieur"
Je.,1,5,1,0,334,,"non, monsieur. je ne comprends pas l'anglais|je comprends un peu le français|je comprends|je comprends l'anglais|je comprends. vous comprenez"
Comprends.,1,4,1,0,37,,"non, monsieur. je ne comprends pas l'anglais|je comprends un peu le français|je comprends|je comprends l'anglais|je ne comprends pas"
Prends.,1,2,1,0,2,,prends le français|prends le
Je comprends.,1,9,2,2,34,je|comprends,"non, monsieur. je ne comprends pas l'anglais|je comprends un peu le français|je comprends l'anglais|je ne comprends pas|je ne comprends pas l'anglais"
Je comprends l'anglais.,1,3,3,4,6,l'anglais|je|comprends|je comprends,"non, monsieur. je ne comprends pas l'anglais|je ne comprends pas l'anglais|non, monsieur, je ne comprends pas l'anglais|oui, mademoiselle. je comprends l'anglais|je comprends un peu l'anglais"
Je comprends. Vous comprenez.,1,2,4,4,0,comprenez|vous comprenez|vous|je,
Je ne comprends pas.,1,27,4,7,11,ne|je|comprends|je comprends|pas,"non, monsieur. je ne comprends pas l'anglais|je ne comprends pas l'anglais|non, je ne comprends pas|je ne comprends pas le français|non, monsieur, je ne comprends pas l'anglais"
Pas.,1,3,1,0,198,,"non, monsieur. je ne comprends pas l'anglais|je ne comprends pas|comprends pas|je ne comprends pas l'anglais|non, je ne comprends pas"
Comprends pas.,1,2,2,2,12,comprends|pas,"non, monsieur. je ne comprends pas l'anglais|je ne comprends pas|je ne comprends pas l'anglais|non, je ne comprends pas|je ne comprends pas le français"
