text,num_lessons,first_lesson,last_lesson,span,coverage,total_count,intervals,pattern_type,decay_trend,lessons
Je ne sais pas.,10,5,29,25,0.4,32,"[1, 1, 1, 2, 6, 2, 1, 5, 5]",recurring_review,decaying,"[5, 6, 7, 8, 10, 16, 18, 19, 24, 29]"
Je ne comprends pas.,9,1,29,29,0.31,27,"[1, 1, 1, 2, 2, 2, 14, 5]",recurring_review,variable,"[1, 2, 3, 4, 6, 8, 10, 24, 29]"
Bonjour.,9,2,27,26,0.35,20,"[1, 1, 1, 5, 3, 9, 2, 3]",recurring_review,variable,"[2, 3, 4, 5, 10, 13, 22, 24, 27]"
Un peu.,7,1,30,30,0.23,22,"[1, 1, 1, 18, 4, 4]",recurring_review,decaying,"[1, 2, 3, 4, 22, 26, 30]"
Comment allez-vous?,7,2,27,26,0.27,27,"[1, 1, 1, 4, 13, 5]",recurring_review,variable,"[2, 3, 4, 5, 9, 22, 27]"
Quand?,7,6,30,25,0.28,16,"[1, 2, 1, 1, 15, 4]",recurring_review,decaying,"[6, 7, 9, 10, 11, 26, 30]"
D'accord.,7,7,29,23,0.3,25,"[1, 1, 2, 1, 5, 12]",recurring_review,decaying,"[7, 8, 9, 11, 12, 17, 29]"
Je vous dois combien?,7,12,27,16,0.44,10,"[1, 2, 1, 1, 7, 3]",recurring_review,variable,"[12, 13, 15, 16, 17, 24, 27]"
Est-ce que vous comprenez l'anglais?,6,1,17,17,0.35,23,"[1, 1, 1, 1, 12]",expanding_intervals,decaying,"[1, 2, 3, 4, 5, 17]"
Je comprends un peu.,6,1,6,6,1.0,11,"[1, 1, 1, 1, 1]",persistent_scaffolding,variable,"[1, 2, 3, 4, 5, 6]"
"Bonjour, Mademoiselle.",6,2,10,9,0.67,13,"[1, 1, 1, 3, 2]",recurring_review,variable,"[2, 3, 4, 5, 8, 10]"
Où?,6,5,25,21,0.29,16,"[1, 1, 1, 3, 14]",expanding_intervals,variable,"[5, 6, 7, 8, 11, 25]"
Pardon.,5,1,9,9,0.56,16,"[1, 1, 2, 4]",expanding_intervals,variable,"[1, 2, 3, 5, 9]"
"Non, Monsieur.",5,1,9,9,0.56,14,"[1, 1, 1, 5]",expanding_intervals,variable,"[1, 2, 3, 4, 9]"
Est-ce que vous comprenez le français?,5,1,9,9,0.56,26,"[1, 1, 2, 4]",expanding_intervals,decaying,"[1, 2, 3, 5, 9]"
"Bonjour, Monsieur.",5,2,9,8,0.62,11,"[1, 1, 1, 4]",expanding_intervals,variable,"[2, 3, 4, 5, 9]"
Très bien.,5,2,22,21,0.24,11,"[1, 3, 5, 11]",expanding_intervals,variable,"[2, 3, 6, 11, 22]"
Je ne veux pas.,5,5,28,24,0.21,8,"[3, 7, 12, 1]",recurring_review,variable,"[5, 8, 15, 27, 28]"
Je voudrais boire quelque chose.,5,5,18,14,0.36,9,"[1, 1, 1, 10]",expanding_intervals,variable,"[5, 6, 7, 8, 18]"
Est-ce que vous voudriez boire quelque chose?,5,5,10,6,0.83,24,"[1, 1, 1, 2]",expanding_intervals,variable,"[5, 6, 7, 8, 10]"
Plus tard.,5,6,29,24,0.21,16,"[1, 4, 7, 11]",expanding_intervals,decaying,"[6, 7, 11, 18, 29]"
Je veux bien.,5,6,18,13,0.38,9,"[1, 1, 2, 8]",expanding_intervals,variable,"[6, 7, 8, 10, 18]"
Qu'est-ce que vous voudriez boire?,5,7,19,13,0.38,13,"[1, 2, 8, 1]",recurring_review,variable,"[7, 8, 10, 18, 19]"
À quelle heure?,5,9,30,22,0.23,19,"[1, 1, 2, 17]",expanding_intervals,decaying,"[9, 10, 11, 13, 30]"
C'est trop.,5,16,27,12,0.42,6,"[1, 1, 6, 3]",recurring_review,decaying,"[16, 17, 18, 24, 27]"
Je comprends un peu le français.,4,1,4,4,1.0,38,"[1, 1, 1]",persistent_scaffolding,variable,"[1, 2, 3, 4]"
Est-ce que vous êtes américain?,4,1,4,4,1.0,29,"[1, 1, 1]",persistent_scaffolding,decaying,"[1, 2, 3, 4]"
Est-ce que vous comprenez?,4,1,12,12,0.33,17,"[1, 7, 3]",intermediate,decaying,"[1, 2, 9, 12]"
Je ne comprends pas l'anglais.,4,1,4,4,1.0,16,"[1, 1, 1]",persistent_scaffolding,variable,"[1, 2, 3, 4]"
Je comprends le français.,4,1,4,4,1.0,23,"[1, 1, 1]",persistent_scaffolding,variable,"[1, 2, 3, 4]"
Je ne comprends pas le français.,4,1,4,4,1.0,10,"[1, 1, 1]",persistent_scaffolding,variable,"[1, 2, 3, 4]"
"Très bien, merci.",4,2,5,4,1.0,11,"[1, 1, 1]",persistent_scaffolding,decaying,"[2, 3, 4, 5]"
Je vais bien.,4,2,27,26,0.15,10,"[1, 2, 22]",expanding_intervals,decaying,"[2, 3, 5, 27]"
