phrase,first_lesson,first_position,total_occurrences,lessons_appeared,is_new,is_review,is_reinforcement,lessons_since_introduction
je comprends un peu le français,1,3,44,"1,2,3,4",False,True,False,3
est-ce que vous êtes américain,1,4,32,"1,2,3,4",False,True,False,3
est-ce que vous comprenez le français,1,83,28,"1,2,3,4,5",False,True,False,4
comment allez-vous,2,44,28,"2,3,4,5",False,True,False,3
je comprends le français,1,18,26,"1,2,3,4",False,True,False,3
est-ce que vous comprenez l'anglais,1,9,24,"1,2,3,4,5",False,True,False,4
je ne comprends pas,1,15,24,"1,2,3,4",False,True,False,3
au revoir,2,55,22,"2,3,4,5",False,True,False,3
un peu,1,19,21,"1,2,3,4",False,True,False,3
bonjour,2,35,21,"2,3,4,5",False,True,False,3
pas très bien,2,89,20,"2,3,4",False,True,False,2
pardon,1,1,19,"1,2,3,5",False,True,False,4
je ne comprends pas l'anglais,1,16,19,"1,2,3,4",False,True,False,3
très bien merci,2,46,17,"2,3,4,5",False,True,False,3
non monsieur,1,11,16,"1,2,3,4",False,True,False,3
bonjour monsieur,2,41,16,"2,3,4,5",False,True,False,3
est-ce que vous comprenez,1,8,14,"1,2",False,False,True,1
je comprends un peu,1,20,14,"1,2,3,4,5",False,True,False,4
je ne comprends pas le français,1,80,14,"1,2,3,4",False,True,False,3
oui mademoiselle,1,5,13,"1,2,4",False,True,False,3
je vais bien,2,54,13,"2,3,5",False,True,False,3
est-ce que c'est ici,4,75,13,"4,5",False,False,True,1
vous comprenez,1,5,12,"1,2,4",False,True,False,3
bonjour madame,2,40,12,"2,3,5",False,True,False,3
bonjour mademoiselle,2,91,12,"2,3,4,5",False,True,False,3
je suis américain,3,26,12,"3,4",False,False,True,1
et vous,3,29,12,"3,4,5",False,True,False,2
s'il vous plaît,3,36,12,"3,4,5",False,True,False,2
c'est là-bas,4,79,12,"4,5",False,False,True,1
où est la rue saint-jacques s'il vous plaît,4,83,12,"4,5",False,False,True,1
je comprends,1,13,11,"1,2,3",False,True,False,2
je suis,3,25,11,"3,4",False,False,True,1
je ne sais pas,5,28,11,5,True,False,False,0
l'anglais,1,2,10,"1,2",False,False,True,1
vous êtes,1,23,10,"1,2,3",False,True,False,2
mademoiselle,1,110,10,"1,2,5",False,True,False,4
le français,1,17,9,"1,2,3",False,True,False,2
