lesson_number,position_in_lesson,utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
3,1,"Bonjour, Monsieur. Comment allez-vous?",Female Speaker,ConversationalExchange,,bonjour monsieur comment aller vous
3,2,"Bien, Madame. Merci.",Male Speaker,ConversationalExchange,,bien madame merci
3,3,Ah! Vous comprenez le français?,Female Speaker,ConversationalExchange,,ah vous comprendre le français
3,4,"Oui, Madame, un peu. Pas très bien.",Male Speaker,ConversationalExchange,,oui madame un peu pas très bien
3,5,"Vous êtes américain, Monsieur?",Female Speaker,ConversationalExchange,,vous être américain monsieur
3,6,Oui.,Male Speaker,ConversationalExchange,,oui
3,7,Mais vous comprenez très bien le français.,Female Speaker,ConversationalExchange,,mais vous comprendre très bien le français
3,8,Le français.,Male Speaker,PromptedRecall,Tell me the name of the French language in French.,le français
3,9,Le français.,Male Speaker,DirectRepetition,,le français
3,10,Je comprends.,Male Speaker,PromptedRecall,"Say, 'I understand.'",je comprendre
3,11,Je comprends le français.,Male Speaker,PromptedRecall,"Say, 'I understand French.'",je comprendre le français
3,12,Je comprends le français.,Male Speaker,DirectRepetition,Repeat again after the speaker.,je comprendre le français
3,13,Je comprends le français.,Male Speaker,DirectRepetition,,je comprendre le français
3,14,Un peu.,Male Speaker,PromptedRecall,"Now, say, 'A little.'",un peu
3,15,Je comprends un peu.,Male Speaker,PromptedRecall,"Say, 'I understand a little.'",je comprendre un peu
3,16,Je comprends un peu le français.,Male Speaker,PromptedRecall,"Say, 'I understand French a little.'",je comprendre un peu le français
3,17,Je comprends un peu le français.,Male Speaker,DirectRepetition,,je comprendre un peu le français
3,18,Je comprends un peu le français.,Male Speaker,DirectRepetition,Repeat again after the speaker.,je comprendre un peu le français
3,19,Je comprends un peu le français.,Male Speaker,DirectRepetition,,je comprendre un peu le français
3,20,Je ne comprends pas.,Male Speaker,PromptedRecall,Suppose someone said something to you in French and you didn't understand what was being said. How would you tell the person that you don't understand?,je ne comprendre pas
3,21,Je ne comprends pas.,Male Speaker,DirectRepetition,,je ne comprendre pas
3,22,Pardon.,Male Speaker,PromptedRecall,"You might add, 'Pardon me.'",pardon
3,23,"Comment allez-vous, Monsieur?",Female Speaker,PromptedRecall,Ask me how I'm feeling.,comment aller vous monsieur
3,24,Comment allez-vous?,Female Speaker,DirectRepetition,,comment aller vous
3,25,Vous allez.,Male Speaker,PromptedRecall,Do you remember what this means literally?,vous aller
3,26,"Très bien, merci.",Male Speaker,PromptedRecall,"Now answer, 'Fine, thanks.'",très bien merci
3,27,"Très bien, merci.",Male Speaker,DirectRepetition,,très bien merci
3,28,"Merci, Madame.",Male Speaker,PromptedRecall,"Say, 'Thank you, madam.'",merci madame
3,29,"Merci, Madame.",Male Speaker,DirectRepetition,,merci madame
3,30,Je vais bien.,Male Speaker,PromptedRecall,'I am well.',je aller bien
3,31,Bonjour.,Male Speaker,PromptedRecall,"How do you say, 'Hello' in French?",bonjour
3,32,Bonjour.,Male Speaker,DirectRepetition,,bonjour
3,33,"Bonjour, Madame.",Male Speaker,PromptedRecall,"Say, 'Good morning, ma'am.'",bonjour madame
