utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
"Bonjour, Marie. Comment allez-vous?",Male Speaker,ConversationalExchange,,bonjour marie comment aller vous
"Dites-moi, Marie, qu'est-ce que vous voulez faire maintenant?",Male Speaker,ConversationalExchange,,dire moi marie quoi être vous vouloir faire maintenant
"Moi, je voudrais déjeuner maintenant.",Male Speaker,ConversationalExchange,,moi vouloir déjeuner maintenant
Est-ce que vous voudriez déjeuner avec moi?,Male Speaker,ConversationalExchange,,être vous vouloir déjeuner avec moi
Où est le restaurant Chez Jacques?,Male Speaker,ConversationalExchange,,où être le restaurant chez jacques
"Ah oui, je sais.",Male Speaker,ConversationalExchange,,ah oui je savoir
"Oui, d'accord.",Male Speaker,SimpleResponse,,oui d'accord
"Bien, Michel, merci.",Female Speaker,ConversationalExchange,,bien michel merci
"Moi? Oh, je ne sais pas. Et vous?",Female Speaker,ConversationalExchange,,moi oh je ne savoir pas et vous
"Oui, mais je voudrais déjeuner au restaurant chez Jacques. D'accord?",Female Speaker,ConversationalExchange,,oui mais je vouloir déjeuner au restaurant chez jacques d'accord
"C'est là-bas, boulevard Saint-Michel.",Female Speaker,ConversationalExchange,,être là-bas boulevard saint-michel
Et je voudrais aussi boire du vin. D'accord?,Female Speaker,ConversationalExchange,,et je vouloir aussi boire du vin d'accord
Comment allez-vous?,Male Speaker,PromptedRecall,"Now, ask me how I am.",comment aller vous
Est-ce que vous comprenez le français?,Male Speaker,PromptedRecall,Ask me if I understand French.,être vous comprendre le français
Où est la rue Saint-Jacques?,Female Speaker,PromptedRecall,Ask me where Saint-Jacques Street is.,où être la rue saint-jacques
Est-ce que vous savez où est la rue Saint-Jacques?,Female Speaker,PromptedRecall,Do you know where Saint-Jacques Street is?,être vous savoir où être la rue saint-jacques
Savez-vous où est la rue Saint-Jacques?,Female Speaker,PromptedRecall,,savoir vous où être la rue saint-jacques
Pardon?,Female Speaker,SimpleResponse,"""Excuse me.""",pardon
Dites-moi.,Female Speaker,PromptedRecall,"Say, ""Tell me.""",dire moi
Où est le restaurant Chez Jacques?,Female Speaker,PromptedRecall,"""Where is the restaurant Chez Jacques?""",où être le restaurant chez jacques
Je voudrais déjeuner maintenant.,Male Speaker,PromptedRecall,Tell me that you'd like to eat lunch now.,je vouloir déjeuner maintenant
Je voudrais déjeuner maintenant.,Male Speaker,DirectRepetition,,je vouloir déjeuner maintenant
Est-ce que vous voudriez aussi déjeuner?,Male Speaker,PromptedRecall,Ask me if I would like to eat lunch too.,être vous vouloir aussi déjeuner
Est-ce que vous voudriez aussi déjeuner?,Male Speaker,DirectRepetition,,être vous vouloir aussi déjeuner
"Non, pas moi.",Female Speaker,PromptedRecall,"Say, ""No, not me.""",non pas moi
"Non, pas moi.",Female Speaker,DirectRepetition,,non pas moi
Je voudrais acheter quelque chose.,Female Speaker,PromptedRecall,"Say, ""I'd like to buy something.""",je vouloir acheter quelque chose
Je voudrais acheter quelque chose.,Female Speaker,DirectRepetition,,je vouloir acheter quelque chose
Quand?,Male Speaker,PromptedRecall,"Ask her, ""When?""",quand
Qu'est-ce que vous voudriez acheter?,Male Speaker,PromptedRecall,Ask her what she would like to buy.,quoi être vous vouloir acheter
Qu'est-ce que vous voudriez acheter?,Male Speaker,DirectRepetition,,quoi être vous vouloir acheter
Avec qui?,Male Speaker,PromptedRecall,"Ask her, ""With whom?""",avec qui
Avec qui?,Male Speaker,DirectRepetition,,avec qui
Je voudrais acheter du vin.,Female Speaker,PromptedRecall,"How does she say, ""I would like to buy some wine""?",je vouloir acheter du vin
Je voudrais acheter du vin.,Female Speaker,DirectRepetition,,je vouloir acheter du vin
Ou de la bière.,Female Speaker,PromptedRecall,"Say, ""Or some beer.""",ou de la bière
Ou de la bière.,Female Speaker,DirectRepetition,,ou de la bière
Je voudrais boire quelque chose avec vous.,Female Speaker,PromptedRecall,"Say, ""I'd like to drink something with you.""",je vouloir boire quelque chose avec vous
Je voudrais boire quelque chose avec vous.,Female Speaker,DirectRepetition,,je vouloir boire quelque chose avec vous
Mais pas ici.,Male Speaker,PromptedRecall,"Say, ""But not here.""",mais pas ici
Mais pas ici.,Male Speaker,DirectRepetition,,mais pas ici
"Et pas là-bas, à l'hôtel.",Female Speaker,PromptedRecall,"Say, ""And not down there, at the hotel.""",et pas là-bas à l' hôtel
