utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
"Jacqueline, est-ce que vous voudriez manger maintenant?",Male Speaker,ConversationalExchange,,jacqueline est-ce que vous vouloir manger maintenant
"Non merci, Pierre, pas maintenant, mais je voudrais boire quelque chose.",Female Speaker,ConversationalExchange,,non merci pierre pas maintenant mais je vouloir boire quelque chose
D'accord. Qu'est-ce que vous voudriez boire?,Male Speaker,ConversationalExchange,,d'accord qu'est-ce que vous vouloir boire
"Je ne sais pas. Du vin? Non, de la bière.",Female Speaker,ConversationalExchange,,je ne savoir pas du vin non de la bière
"Moi aussi, je voudrais boire de la bière. Mademoiselle, deux bières, s'il vous plaît.",Male Speaker,ConversationalExchange,,moi aussi je vouloir boire de la bière mademoiselle deux bière s'il vous plaît
"Comment? Manger? Non, pas maintenant. Plus tard, s'il vous plaît.",Male Speaker,ConversationalExchange,,comment manger non pas maintenant plus tard s'il vous plaît
Déjeuner.,Female Speaker,DirectRepetition,"Here's how to say, ""To have lunch."" Listen and repeat.",déjeuner
Déjeuner.,Female Speaker,DirectRepetition,"Here's how to say, ""To have lunch."" Listen and repeat.",déjeuner
Déjeuner.,Female Speaker,DirectRepetition,"Here's how to say, ""To have lunch."" Listen and repeat.",déjeuner
Déjeuner.,Female Speaker,PromptedRecall,"How do you say, ""To have lunch""?",déjeuner
Déjeuner.,Female Speaker,PromptedRecall,"How do you say, ""To have lunch""?",déjeuner
Est-ce que vous voudriez manger maintenant?,Male Speaker,PromptedRecall,How do you ask someone if she would like to eat now?,est-ce que vous vouloir manger maintenant
Est-ce que vous voudriez manger maintenant?,Male Speaker,PromptedRecall,How do you ask someone if she would like to eat now?,est-ce que vous vouloir manger maintenant
"Oui, je voudrais déjeuner.",Female Speaker,PromptedRecall,"Answer, ""Yes, I'd like to have lunch.""",oui je vouloir déjeuner
Voudrais.,Female Speaker,DirectRepetition,"Repeat the word ""voudrais"" after the French speaker to check your pronunciation.",vouloir
Drais.,Female Speaker,DirectRepetition,"Repeat the word ""voudrais"" after the French speaker to check your pronunciation.",vouloir
Voudrais.,Female Speaker,DirectRepetition,"Repeat the word ""voudrais"" after the French speaker to check your pronunciation.",vouloir
Je voudrais.,Female Speaker,DirectRepetition,"Repeat the word ""voudrais"" after the French speaker to check your pronunciation.",je vouloir
Je voudrais déjeuner.,Female Speaker,DirectRepetition,"Repeat the word ""voudrais"" after the French speaker to check your pronunciation.",je vouloir déjeuner
Je voudrais déjeuner maintenant.,Female Speaker,DirectRepetition,"Repeat the word ""voudrais"" after the French speaker to check your pronunciation.",je vouloir déjeuner maintenant
Je voudrais déjeuner maintenant.,Female Speaker,DirectRepetition,And now listen and repeat the same statement at a rapid conversational speed.,je vouloir déjeuner maintenant
Je voudrais déjeuner maintenant.,Female Speaker,DirectRepetition,And now listen and repeat the same statement at a rapid conversational speed.,je vouloir déjeuner maintenant
Où est-ce que vous voudriez déjeuner?,Male Speaker,PromptedRecall,Ask her where she'd like to have lunch.,où est-ce que vous vouloir déjeuner
Où est-ce que vous voudriez déjeuner?,Male Speaker,PromptedRecall,Ask her where she'd like to have lunch.,où est-ce que vous vouloir déjeuner
Au restaurant?,Male Speaker,PromptedRecall,"Ask, ""At the restaurant?""",au restaurant
Au restaurant?,Male Speaker,PromptedRecall,"Ask, ""At the restaurant?""",au restaurant
"Non, chez vous.",Female Speaker,PromptedRecall,"Answer, ""No, at your place.""",non chez vous
"Non, chez vous.",Female Speaker,PromptedRecall,"Answer, ""No, at your place.""",non chez vous
Moi aussi.,Male Speaker,PromptedRecall,"Say, ""Me too.""",moi aussi
Moi aussi.,Male Speaker,PromptedRecall,"Say, ""Me too.""",moi aussi
Mais plus tard.,Male Speaker,PromptedRecall,"Say, ""But later.""",mais plus tard
Mais plus tard.,Male Speaker,PromptedRecall,"Say, ""But later.""",mais plus tard
Est-ce que vous voudriez boire quelque chose maintenant?,Male Speaker,PromptedRecall,Ask her if she would like to drink something now.,est-ce que vous vouloir boire quelque chose maintenant
Est-ce que vous voudriez boire quelque chose maintenant?,Male Speaker,PromptedRecall,Ask her if she would like to drink something now.,est-ce que vous vouloir boire quelque chose maintenant
Qu'est-ce que vous voudriez boire?,Male Speaker,PromptedRecall,Now ask her what she would like to drink.,qu'est-ce que vous vouloir boire
Qu'est-ce que vous voudriez boire?,Male Speaker,PromptedRecall,Now ask her what she would like to drink.,qu'est-ce que vous vouloir boire
Est-ce que vous voudriez boire quelque chose?,Male Speaker,DirectRepetition,Listen to these two sentences together and think of what they mean.,est-ce que vous vouloir boire quelque chose
Qu'est-ce que vous voudriez boire?,Male Speaker,DirectRepetition,Listen to these two sentences together and think of what they mean.,qu'est-ce que vous vouloir boire
Est-ce que vous voudriez boire quelque chose?,Male Speaker,DirectRepetition,Listen to these two sentences together and think of what they mean.,est-ce que vous vouloir boire quelque chose
Qu'est-ce que vous voudriez boire?,Male Speaker,DirectRepetition,Listen to these two sentences together and think of what they mean.,qu'est-ce que vous vouloir boire
Qu'est-ce que vous voudriez boire?,Male Speaker,PromptedRecall,Ask her what she would like to drink.,qu'est-ce que vous vouloir boire
Est-ce que vous voudriez boire quelque chose?,Male Speaker,PromptedRecall,And now ask her whether she would like to drink something.,est-ce que vous vouloir boire quelque chose
Quand est-ce que vous voudriez boire quelque chose?,Male Speaker,PromptedRecall,Ask her when she would like to drink something.,quand est-ce que vous vouloir boire quelque chose
Quand est-ce que vous voudriez boire quelque chose?,Male Speaker,PromptedRecall,Ask her when she would like to drink something.,quand est-ce que vous vouloir boire quelque chose
Qu'est-ce que vous voudriez boire?,Male Speaker,PromptedRecall,Ask her what she would like to drink.,qu'est-ce que vous vouloir boire
Qu'est-ce que vous voudriez boire?,Male Speaker,PromptedRecall,Ask her what she would like to drink.,qu'est-ce que vous vouloir boire
Est-ce que vous voudriez boire quelque chose?,Male Speaker,PromptedRecall,Ask her if she would like to drink something.,est-ce que vous vouloir boire quelque chose
Est-ce que vous voudriez boire de la bière?,Male Speaker,PromptedRecall,Ask her if she would like to drink some beer.,est-ce que vous vouloir boire de la bière
Est-ce que vous voudriez boire de la bière?,Male Speaker,PromptedRecall,Ask her if she would like to drink some beer.,est-ce que vous vouloir boire de la bière
"Deux bières, s'il vous plaît.",Male Speaker,DirectRepetition,He orders two beers. Listen and repeat.,deux bière s'il vous plaît
"Deux bières, s'il vous plaît.",Male Speaker,DirectRepetition,He orders two beers. Listen and repeat.,deux bière s'il vous plaît
Deux.,Male Speaker,PromptedRecall,"What is the word for ""two""?",deux
Deux.,Male Speaker,PromptedRecall,"What is the word for ""two""?",deux
"Deux bières, s'il vous plaît.",Male Speaker,PromptedRecall,"Say, ""Two beers, please.""",deux bière s'il vous plaît
"Deux bières, s'il vous plaît, Mademoiselle.",Male Speaker,PromptedRecall,"Say, ""Two beers, please.""",deux bière s'il vous plaît mademoiselle
ou.,Male Speaker,DirectRepetition,"The word ""or"" in French is ""ou."" Practice saying this.",ou
ou.,Male Speaker,DirectRepetition,"The word ""or"" in French is ""ou."" Practice saying this.",ou
ou.,Male Speaker,DirectRepetition,"The word ""or"" in French is ""ou."" Practice saying this.",ou
Est-ce que vous voudriez de la bière?,Male Speaker,PromptedRecall,"Now ask, ""Would you like some beer?""",est-ce que vous vouloir de la bière
Est-ce que vous voudriez de la bière?,Male Speaker,PromptedRecall,"Now ask, ""Would you like some beer?""",est-ce que vous vouloir de la bière
Ou du vin?,Male Speaker,PromptedRecall,"Say, ""Or wine.""",ou du vin
Ou du vin?,Male Speaker,PromptedRecall,"Say, ""Or wine.""",ou du vin
Plus.,Male Speaker,DirectRepetition,"The word ""du"" is pronounced so as to rhyme with the word ""plus"" in ""plus tard."" Practice the two words after the speaker.",plus
Plus.,Male Speaker,DirectRepetition,"The word ""du"" is pronounced so as to rhyme with the word ""plus"" in ""plus tard."" Practice the two words after the speaker.",plus
