phrase,teaching_cue,context,speaker_response
L'anglais,"Say the word ""English"" in French.",vocabulary_introduction,Female Speaker
Le français,"Say ""French"", meaning the French language.",vocabulary_introduction,Female Speaker
Je comprends,"Say ""I understand.""",vocabulary_introduction,Female Speaker
Je comprends le français,"And now say ""I understand French.""",vocabulary_introduction,Female Speaker
Je comprends le français,Tell me that you understand French.,question,Male Speaker
Un peu,"""A little"".",vocabulary_introduction,Male Speaker
Je comprends un peu le français,Now tell me that you understand French a little.,question,Male Speaker
Est-ce que vous comprenez?,Ask me if I understand.,question,Male Speaker
Est-ce que vous comprenez le français?,Ask me if I understand French.,question,Female Speaker
Est-ce que vous comprenez le français?,Listen and repeat.,pronunciation_practice,Male Speaker
Est-ce que vous comprenez l'anglais?,"Ask, ""Do you understand English?""",question,Male Speaker
"Non, Monsieur","Say, ""No, sir.""",vocabulary_introduction,Female Speaker
Je ne comprends pas,"Say, ""I don't understand.""",vocabulary_introduction,Female Speaker
Je ne comprends pas,Listen and repeat.,pronunciation_practice,Female Speaker
Je ne comprends pas l'anglais,"Say, ""I don't understand English.""",vocabulary_introduction,Female Speaker
Je ne comprends pas le français,"And now say, ""I don't understand French.""",vocabulary_introduction,Female Speaker
Je ne comprends pas le français,Repeat again after the speaker.,pronunciation_practice,Female Speaker
Je comprends un peu,"And how would you say, ""I understand a little.""",question,Female Speaker
Je ne comprends pas le français,"Say again, ""I don't understand French.""",vocabulary_introduction,Female Speaker
Je comprends l'anglais,"""I understand English.""",vocabulary_introduction,Female Speaker
Je comprends un peu l'anglais,"""I understand English a little.""",vocabulary_introduction,Female Speaker
Vous êtes,"Say, ""You are.""",vocabulary_introduction,Female Speaker
Vous êtes américain,"Say, ""You are American.""",vocabulary_introduction,Female Speaker
Est-ce que vous êtes américain?,"Ask, ""Are you American?""",question,Female Speaker
"Oui, Mademoiselle","Say, ""Yes, Miss.""",vocabulary_introduction,Female Speaker
Monsieur,"How do you say, ""Sir,"" or ""Mr.""?",vocabulary_introduction,Female Speaker
"Non, Monsieur","Say, ""No, sir.""",vocabulary_introduction,Female Speaker
Mademoiselle,"Say, ""Miss.""",vocabulary_introduction,Male Speaker
"Pardon, Mademoiselle","Say, ""Excuse me, miss.""",vocabulary_introduction,Male Speaker
Je comprends le français,"Say, ""I understand French.""",vocabulary_introduction,Male Speaker
Un peu,"Say, ""A little.""",vocabulary_introduction,Male Speaker
Je comprends un peu le français,"Say, ""I understand French a little.""",vocabulary_introduction,Male Speaker
Est-ce que vous êtes américain?,"Do you remember how to ask, ""Are you American?""",question,Female Speaker
"Oui, vous êtes américain","How would she say to him, ""Yes, you're American?""",question,Female Speaker
Vous comprenez,"Say, ""You understand.""",vocabulary_introduction,Male Speaker
Est-ce que vous comprenez?,"Ask, ""Do you understand?""",question,Male Speaker
Est-ce que vous comprenez l'anglais?,"Ask the woman, ""Do you understand English?""",question,Male Speaker
"Non, Monsieur","Say, ""No, Sir.""",vocabulary_introduction,Female Speaker
Je ne comprends pas,"Say, ""I don't understand.""",vocabulary_introduction,Female Speaker
Bonjour,"Here's how the French say, ""Hello, good morning,"" or, ""Hi.""",vocabulary_introduction,Male Speaker
Bon,"First, the word ""good"". Listen and repeat.",pronunciation_practice,Male Speaker
Jour,"Now, the word ""day.""",vocabulary_introduction,Male Speaker
Bonjour,"Say, ""Hello, Miss.""",vocabulary_introduction,Male Speaker
Madame,"If the woman were married, here's how you would address her. Listen and repeat.",vocabulary_introduction,Male Speaker
"Bonjour, Madame","Say, ""Good morning, ma'am.""",vocabulary_introduction,Male Speaker
"Bonjour, Monsieur","Say, ""Good morning, sir.""",vocabulary_introduction,Female Speaker
Comment,"Now you want to ask, ""How are you?"" First, let's practice the word ""How"".",vocabulary_introduction,Male Speaker
Vous allez,"For, ""How are you?"" The French say, ""How do you go?"" So here is how to say, ""You go."" Listen and repeat.",vocabulary_introduction,Male Speaker
Comment allez-vous?,"Now listen and repeat as the speaker asks, ""How are you?""",question,Male Speaker
Comment allez-vous?,"Now ask, ""How are you?""",question,Male Speaker
"Bonjour, Madame","Say, ""Good morning, ma'am.""",vocabulary_introduction,Male Speaker
"Bonjour, Mademoiselle","How would you say, ""Good morning, miss?""",question,Male Speaker
Comment allez-vous?,"Ask her, ""How are you?""",question,Male Speaker
"Très bien, merci","Her answer is ""Very well, thanks.""",vocabulary_introduction,Female Speaker
Merci,"Practice the word ""Thanks.""",pronunciation_practice,Female Speaker
Bien,"Now the word ""Well.""",vocabulary_introduction,Male Speaker
Très,"And now the word ""Very.""",vocabulary_introduction,Female Speaker
"Très bien, merci","Now say, ""Very well, thanks.""",vocabulary_introduction,Female Speaker
"Bonjour, Monsieur","Say, ""Good morning, sir.""",vocabulary_introduction,Female Speaker
"Bonjour, Mademoiselle","""Good morning, miss.""",vocabulary_introduction,Male Speaker
Comment allez-vous?,Ask the man how he is.,question,Female Speaker
"Très bien, merci","Answer, ""Very well, thanks.""",vocabulary_introduction,Male Speaker
"Très bien, Mademoiselle","Say, ""Very well, miss.""",vocabulary_introduction,Male Speaker
Je vais bien,"""I'm well."" Listen and repeat.",pronunciation_practice,Male Speaker
Comment allez-vous?,"Ask again, ""How are you?""",question,Female Speaker
"Très bien, merci","Answer, ""Very well, thanks.""",vocabulary_introduction,Male Speaker
Je vais bien,"""I'm well.""",vocabulary_introduction,Male Speaker
Au revoir,"Here's how to say ""goodbye"" in French. Listen and repeat.",vocabulary_introduction,Male Speaker
Au revoir,"Say, ""Goodbye.""",vocabulary_introduction,Male Speaker
Bonjour,"And how do you say, ""Hello""?",question,Female Speaker
"Bonjour, Monsieur","Say, ""Hello, sir.""",vocabulary_introduction,Female Speaker
Comment allez-vous?,"Ask, ""How are you?""",question,Female Speaker
"Très bien, Mademoiselle","Say, ""Very well, miss.""",vocabulary_introduction,Male Speaker
Merci,"""Thank you.""",vocabulary_introduction,Male Speaker
"Je vais bien, merci","""I'm well, thanks.""",vocabulary_introduction,Male Speaker
Au revoir,"Say, ""Goodbye.""",vocabulary_introduction,Male Speaker
Je ne comprends pas,"Say, ""I don't understand.""",vocabulary_introduction,Female Speaker
"Bonjour, Madame","Say, ""Good morning, ma'am.""",vocabulary_introduction,Male Speaker
"Bonjour, Monsieur","Say, ""Good morning, sir.""",vocabulary_introduction,Female Speaker
Est-ce que vous êtes américain?,Ask me if I'm American.,question,Female Speaker
"Non, Madame","Say, ""No, ma'am.""",vocabulary_introduction,Male Speaker
Je ne comprends pas,"Say, ""I don't understand.""",vocabulary_introduction,Female Speaker
Est-ce que vous comprenez le français?,"""Do you understand French?""",question,Female Speaker
"Oui, Madame","""Yes, ma'am.""",vocabulary_introduction,Male Speaker
Je comprends le français,"""I understand French.""",vocabulary_introduction,Male Speaker
Je comprends un peu le français,"""I understand French a little.""",vocabulary_introduction,Male Speaker
"Au revoir, Madame","Say, ""Goodbye, ma'am.""",vocabulary_introduction,Male Speaker
"Au revoir, Monsieur","""Goodbye, sir.""",vocabulary_introduction,Female Speaker
"Pardon, Madame","Do you remember how to say, ""Excuse me, ma'am?""",question,Male Speaker
Est-ce que vous comprenez?,Ask her if she understands.,question,Male Speaker
"Ah, vous comprenez le français?","Now say, ""Ah, you understand French.""",vocabulary_introduction,Male Speaker
"Oui, je comprends le français","""Yes, I understand French.""",vocabulary_introduction,Female Speaker
Très bien,"Say, ""Very well.""",vocabulary_introduction,Male Speaker
"Comment allez-vous, Madame?",Ask her how she is.,question,Male Speaker
"Très bien, Monsieur, merci","""Very well, sir, thank you.""",vocabulary_introduction,Female Speaker
Je vais bien,"""I'm well.""",vocabulary_introduction,Female Speaker
Pardon,"Say, ""Excuse me.""",vocabulary_introduction,Male Speaker
"Je ne comprends pas, Madame",Tell her you don't understand.,vocabulary_introduction,Male Speaker
Est-ce que vous comprenez l'anglais?,How would she ask you if you understand English?,question,Female Speaker
"Oui, je comprends l'anglais","Tell her, ""Yes, I understand English.""",vocabulary_introduction,Male Speaker
Est-ce que vous comprenez le français?,"""Do you understand French?""",question,Female Speaker
Je comprends le français,Tell her you understand French.,vocabulary_introduction,Male Speaker
Je comprends un peu le français,Tell her you understand French a little.,vocabulary_introduction,Male Speaker
Pas très bien,"Here's how you might say, ""Not very well."" Listen and repeat.",vocabulary_introduction,Male Speaker
Je comprends un peu le français,"Say, ""I understand French a little.""",vocabulary_introduction,Male Speaker
Pas très bien,"Say, ""Not very well.""",vocabulary_introduction,Male Speaker
Je comprends un peu l'anglais,How does she say that she understands English a little?,question,Female Speaker
Pas très bien,"""Not very well.""",vocabulary_introduction,Female Speaker
Je ne comprends pas,"Say, ""I don't understand.""",vocabulary_introduction,Female Speaker
Je ne comprends pas très bien,"Try to say, ""I don't understand very well.""",vocabulary_introduction,Female Speaker
Vous comprenez le français?,Say you understand French?,question,Female Speaker
Un peu,"Say, ""A little.""",vocabulary_introduction,Male Speaker
Je comprends un peu le français,"""I understand French a little.""",vocabulary_introduction,Male Speaker
Je ne comprends pas l'anglais,"""I don't understand English.""",vocabulary_introduction,Female Speaker
Au revoir,"Now say, ""Goodbye.""",vocabulary_introduction,Male Speaker
